=== ALL PUBLIC TABLES — 625 total ===

Table                                         RLS  Pol  Cols  Rows      Size      
onboarding_audit_log                          ON   1    10    138       184 KB    
onboarding_checklists                         ON   1    14    0         32 KB     
onboarding_module_status                      ON   2    15    37        152 KB    
onboarding_retry_queue                        ON   1    13    0         80 KB     
onboarding_sessions                           ON   3    21    8         80 KB     
ops_agent_memory                              ON   1    7     90        88 KB     
ops_agent_performance                         ON   1    14    0         32 KB     
ops_agent_tasks                               ON   1    19    583       560 KB    
ops_budget_actuals                            ON   1    9     34        48 KB     
ops_budgets                                   ON   1    11    11        48 KB     
ops_compliance_log                            ON   1    10    34        48 KB     
ops_compliance_rules                          ON   1    14    200       160 KB    
ops_cost_savings                              ON   1    14    10        48 KB     
ops_demand_forecasts                          ON   1    15    1182      576 KB    
ops_industry_benchmarks                       ON   1    8     9         48 KB     
ops_industry_configs                          ON   1    8     6         80 KB     
ops_inventory_items                           ON   1    21    33        96 KB     
ops_inventory_movements                       ON   1    13    191       120 KB    
ops_po_line_items                             ON   1    11    23        32 KB     
ops_production_plans                          ON   1    15    7         48 KB     
ops_production_tasks                          ON   1    17    49        96 KB     
ops_purchase_orders                           ON   1    24    41        136 KB    
ops_qc_checkpoints                            ON   1    10    4         32 KB     
ops_qc_results                                ON   1    13    3         48 KB     
ops_quality_alerts                            ON   1    18    9         80 KB     
ops_quality_checks                            ON   1    14    8435      3 MB      
ops_region_configs                            ON   1    15    4         48 KB     
ops_shipment_events                           ON   1    8     9         48 KB     
ops_shipments                                 ON   1    21    4         64 KB     
ops_simulations                               ON   1    9     1         48 KB     
ops_slas                                      ON   1    10    5         48 KB     
ops_templates                                 ON   1    12    2         48 KB     
ops_vendor_performance                        ON   1    16    19        48 KB     
ops_vendors                                   ON   1    29    11        64 KB     
optimization_reports                          ON   5    9     0         40 KB     
orchestrator_events                           ON   1    8     0         16 KB     
orchestrator_logs                             ON   5    14    83372     55 MB     
organizations                                 ON   1    33    6         80 KB     
outbound_messages                             ON   1    31    871       800 KB    
package_items                                 ON   1    9     0         16 KB     
packages                                      ON   1    11    0         32 KB     
page_analytics                                ON   3    9     0         32 KB     
page_templates                                ON   3    14    12        64 KB     
patient_testimonials                          ON   1    13    0         16 KB     
patient_visits                                ON   1    21    0         16 KB     
patient_vitals                                ON   1    16    0         16 KB     
pending_actions                               ON   2    19    0         40 KB     
permissions                                   ON   2    11    54        112 KB    
predictive_scores                             ON   1    16    0         32 KB     
premium_pages                                 ON   3    29    0         48 KB     
